Experiment,Dist,N,M,Seed,Algo,Params,Time,Obj,Status,Gap
pilot_b_tuning,job_correlated,30,4,2189,IG,"d=2,T=0.1,t=5.0s",5.0,376,HEURISTIC,3.867403314917127
pilot_b_tuning,job_correlated,30,4,2189,IG,"d=2,T=0.5,t=5.0s",5.0,376,HEURISTIC,3.867403314917127
pilot_b_tuning,job_correlated,30,4,2189,IG,"d=4,T=0.1,t=5.0s",5.0,366,HEURISTIC,1.1049723756906076
pilot_b_tuning,job_correlated,30,4,2189,IG,"d=4,T=0.5,t=5.0s",5.0,372,HEURISTIC,2.7624309392265194
pilot_b_tuning,job_correlated,30,4,2189,IG,"d=6,T=0.1,t=5.0s",5.0,366,HEURISTIC,1.1049723756906076
pilot_b_tuning,job_correlated,30,4,2189,IG,"d=6,T=0.5,t=5.0s",5.0,368,HEURISTIC,1.6574585635359116
pilot_b_tuning,job_correlated,30,4,2190,IG,"d=2,T=0.1,t=5.0s",5.0,469,HEURISTIC,1.5151515151515151
pilot_b_tuning,job_correlated,30,4,2190,IG,"d=2,T=0.5,t=5.0s",5.0,474,HEURISTIC,2.5974025974025974
pilot_b_tuning,job_correlated,30,4,2190,IG,"d=4,T=0.1,t=5.0s",5.0,469,HEURISTIC,1.5151515151515151
pilot_b_tuning,job_correlated,30,4,2190,IG,"d=4,T=0.5,t=5.0s",5.0,472,HEURISTIC,2.1645021645021645
pilot_b_tuning,job_correlated,30,4,2190,IG,"d=6,T=0.1,t=5.0s",5.0,471,HEURISTIC,1.948051948051948
pilot_b_tuning,job_correlated,30,4,2190,IG,"d=6,T=0.5,t=5.0s",5.0,476,HEURISTIC,3.0303030303030303
pilot_b_tuning,job_correlated,30,4,2191,IG,"d=2,T=0.1,t=5.0s",5.0,387,HEURISTIC,1.8421052631578945
pilot_b_tuning,job_correlated,30,4,2191,IG,"d=2,T=0.5,t=5.0s",5.0,391,HEURISTIC,2.8947368421052633
pilot_b_tuning,job_correlated,30,4,2191,IG,"d=4,T=0.1,t=5.0s",5.0,387,HEURISTIC,1.8421052631578945
pilot_b_tuning,job_correlated,30,4,2191,IG,"d=4,T=0.5,t=5.0s",5.0,391,HEURISTIC,2.8947368421052633
pilot_b_tuning,job_correlated,30,4,2191,IG,"d=6,T=0.1,t=5.0s",5.0,387,HEURISTIC,1.8421052631578945
pilot_b_tuning,job_correlated,30,4,2191,IG,"d=6,T=0.5,t=5.0s",5.0,390,HEURISTIC,2.631578947368421
pilot_b_tuning,job_correlated,30,4,2192,IG,"d=2,T=0.1,t=5.0s",5.0,404,HEURISTIC,2.0202020202020203
pilot_b_tuning,job_correlated,30,4,2192,IG,"d=2,T=0.5,t=5.0s",5.0,407,HEURISTIC,2.7777777777777777
pilot_b_tuning,job_correlated,30,4,2192,IG,"d=4,T=0.1,t=5.0s",5.0,402,HEURISTIC,1.5151515151515151
pilot_b_tuning,job_correlated,30,4,2192,IG,"d=4,T=0.5,t=5.0s",5.0,404,HEURISTIC,2.0202020202020203
pilot_b_tuning,job_correlated,30,4,2192,IG,"d=6,T=0.1,t=5.0s",5.0,403,HEURISTIC,1.7676767676767675
pilot_b_tuning,job_correlated,30,4,2192,IG,"d=6,T=0.5,t=5.0s",5.0,406,HEURISTIC,2.525252525252525
pilot_b_tuning,job_correlated,30,4,2193,IG,"d=2,T=0.1,t=5.0s",5.0,355,HEURISTIC,1.7191977077363898
pilot_b_tuning,job_correlated,30,4,2193,IG,"d=2,T=0.5,t=5.0s",5.0,359,HEURISTIC,2.865329512893983
pilot_b_tuning,job_correlated,30,4,2193,IG,"d=4,T=0.1,t=5.0s",5.0,354,HEURISTIC,1.4326647564469914
pilot_b_tuning,job_correlated,30,4,2193,IG,"d=4,T=0.5,t=5.0s",5.0,355,HEURISTIC,1.7191977077363898
pilot_b_tuning,job_correlated,30,4,2193,IG,"d=6,T=0.1,t=5.0s",5.0,354,HEURISTIC,1.4326647564469914
pilot_b_tuning,job_correlated,30,4,2193,IG,"d=6,T=0.5,t=5.0s",5.0,359,HEURISTIC,2.865329512893983
pilot_b_tuning,uniform,30,4,2184,IG,"d=2,T=0.1,t=5.0s",5.0,236,HEURISTIC,3.056768558951965
pilot_b_tuning,uniform,30,4,2184,IG,"d=2,T=0.5,t=5.0s",5.0,236,HEURISTIC,3.056768558951965
pilot_b_tuning,uniform,30,4,2184,IG,"d=4,T=0.1,t=5.0s",5.0,236,HEURISTIC,3.056768558951965
pilot_b_tuning,uniform,30,4,2184,IG,"d=4,T=0.5,t=5.0s",5.0,236,HEURISTIC,3.056768558951965
pilot_b_tuning,uniform,30,4,2184,IG,"d=6,T=0.1,t=5.0s",5.0,236,HEURISTIC,3.056768558951965
pilot_b_tuning,uniform,30,4,2184,IG,"d=6,T=0.5,t=5.0s",5.0,236,HEURISTIC,3.056768558951965
pilot_b_tuning,uniform,30,4,2185,IG,"d=2,T=0.1,t=5.0s",5.0,231,HEURISTIC,11.594202898550725
pilot_b_tuning,uniform,30,4,2185,IG,"d=2,T=0.5,t=5.0s",5.0,217,HEURISTIC,4.830917874396135
pilot_b_tuning,uniform,30,4,2185,IG,"d=4,T=0.1,t=5.0s",5.0,217,HEURISTIC,4.830917874396135
pilot_b_tuning,uniform,30,4,2185,IG,"d=4,T=0.5,t=5.0s",5.0,217,HEURISTIC,4.830917874396135
pilot_b_tuning,uniform,30,4,2185,IG,"d=6,T=0.1,t=5.0s",5.0,217,HEURISTIC,4.830917874396135
pilot_b_tuning,uniform,30,4,2185,IG,"d=6,T=0.5,t=5.0s",5.0,217,HEURISTIC,4.830917874396135
pilot_b_tuning,uniform,30,4,2186,IG,"d=2,T=0.1,t=5.0s",5.0,203,HEURISTIC,7.4074074074074066
pilot_b_tuning,uniform,30,4,2186,IG,"d=2,T=0.5,t=5.0s",5.0,202,HEURISTIC,6.878306878306878
pilot_b_tuning,uniform,30,4,2186,IG,"d=4,T=0.1,t=5.0s",5.0,201,HEURISTIC,6.349206349206349
pilot_b_tuning,uniform,30,4,2186,IG,"d=4,T=0.5,t=5.0s",5.0,201,HEURISTIC,6.349206349206349
