Experiment,Dist,N,M,Replica,Seed,Algo,Params,Time,Obj,Status,Gap,Nodes
pilot_c_convergence,job_correlated,100,5,0,2319,IG,"d=6,T=0.1,t=0.1s",0.109375,1064,HEURISTIC_RPD,6.934673366834171,540
pilot_c_convergence,job_correlated,100,5,0,2319,IG,"d=6,T=0.1,t=0.5s",0.5,1046,HEURISTIC_RPD,5.125628140703518,2851
pilot_c_convergence,job_correlated,100,5,0,2319,IG,"d=6,T=0.1,t=1.0s",1.0,1032,HEURISTIC_RPD,3.7185929648241203,6062
pilot_c_convergence,job_correlated,100,5,0,2319,IG,"d=6,T=0.1,t=5.0s",5.0,1019,HEURISTIC_RPD,2.4120603015075375,30733
pilot_c_convergence,job_correlated,100,5,0,2319,IG,"d=6,T=0.1,t=10.0s",10.0,1019,HEURISTIC_RPD,2.4120603015075375,62945
pilot_c_convergence,job_correlated,100,5,0,2319,IG,"d=6,T=0.1,t=30.0s",30.0,1005,HEURISTIC_RPD,1.0050251256281406,179246
pilot_c_convergence,job_correlated,100,5,0,2319,IG,"d=6,T=0.1,t=60.0s",60.0,1005,HEURISTIC_RPD,1.0050251256281406,369906
pilot_c_convergence,job_correlated,100,5,1,2320,IG,"d=6,T=0.1,t=0.1s",0.109375,1069,HEURISTIC_RPD,7.221664994984955,415
pilot_c_convergence,job_correlated,100,5,1,2320,IG,"d=6,T=0.1,t=0.5s",0.5,1053,HEURISTIC_RPD,5.616850551654965,2490
pilot_c_convergence,job_correlated,100,5,1,2320,IG,"d=6,T=0.1,t=1.0s",1.0,1036,HEURISTIC_RPD,3.911735205616851,5400
pilot_c_convergence,job_correlated,100,5,1,2320,IG,"d=6,T=0.1,t=5.0s",5.0,1025,HEURISTIC_RPD,2.8084252758274824,27279
pilot_c_convergence,job_correlated,100,5,1,2320,IG,"d=6,T=0.1,t=10.0s",10.0,1019,HEURISTIC_RPD,2.206619859578736,56521
pilot_c_convergence,job_correlated,100,5,1,2320,IG,"d=6,T=0.1,t=30.0s",30.0,1015,HEURISTIC_RPD,1.8054162487462388,178781
pilot_c_convergence,job_correlated,100,5,1,2320,IG,"d=6,T=0.1,t=60.0s",60.0,1012,HEURISTIC_RPD,1.5045135406218655,352789
pilot_c_convergence,job_correlated,100,5,2,2321,IG,"d=6,T=0.1,t=0.1s",0.109375,1139,HEURISTIC_RPD,7.859848484848484,441
pilot_c_convergence,job_correlated,100,5,2,2321,IG,"d=6,T=0.1,t=0.5s",0.5,1107,HEURISTIC_RPD,4.829545454545454,2872
pilot_c_convergence,job_correlated,100,5,2,2321,IG,"d=6,T=0.1,t=1.0s",1.0,1092,HEURISTIC_RPD,3.4090909090909087,5463
pilot_c_convergence,job_correlated,100,5,2,2321,IG,"d=6,T=0.1,t=5.0s",5.0,1080,HEURISTIC_RPD,2.272727272727273,29021
pilot_c_convergence,job_correlated,100,5,2,2321,IG,"d=6,T=0.1,t=10.0s",10.0,1079,HEURISTIC_RPD,2.178030303030303,59456
pilot_c_convergence,job_correlated,100,5,2,2321,IG,"d=6,T=0.1,t=30.0s",30.0,1073,HEURISTIC_RPD,1.6098484848484849,179806
pilot_c_convergence,job_correlated,100,5,2,2321,IG,"d=6,T=0.1,t=60.0s",60.0,1070,HEURISTIC_RPD,1.3257575757575757,361085
pilot_c_convergence,job_correlated,100,5,3,2322,IG,"d=6,T=0.1,t=0.1s",0.109375,1012,HEURISTIC_RPD,7.659574468085106,583
pilot_c_convergence,job_correlated,100,5,3,2322,IG,"d=6,T=0.1,t=0.5s",0.5,986,HEURISTIC_RPD,4.8936170212765955,2785
pilot_c_convergence,job_correlated,100,5,3,2322,IG,"d=6,T=0.1,t=1.0s",1.0,984,HEURISTIC_RPD,4.680851063829787,5732
pilot_c_convergence,job_correlated,100,5,3,2322,IG,"d=6,T=0.1,t=5.0s",5.0,964,HEURISTIC_RPD,2.553191489361702,30013
pilot_c_convergence,job_correlated,100,5,3,2322,IG,"d=6,T=0.1,t=10.0s",10.0,964,HEURISTIC_RPD,2.553191489361702,59967
pilot_c_convergence,job_correlated,100,5,3,2322,IG,"d=6,T=0.1,t=30.0s",30.0,958,HEURISTIC_RPD,1.9148936170212765,182660
pilot_c_convergence,job_correlated,100,5,3,2322,IG,"d=6,T=0.1,t=60.0s",60.0,951,HEURISTIC_RPD,1.1702127659574468,366970
pilot_c_convergence,job_correlated,100,5,4,2323,IG,"d=6,T=0.1,t=0.1s",0.109375,1067,HEURISTIC_RPD,8.766564729867483,466
pilot_c_convergence,job_correlated,100,5,4,2323,IG,"d=6,T=0.1,t=0.5s",0.5,1017,HEURISTIC_RPD,3.669724770642202,2814
pilot_c_convergence,job_correlated,100,5,4,2323,IG,"d=6,T=0.1,t=1.0s",1.0,1015,HEURISTIC_RPD,3.4658511722731906,5628
pilot_c_convergence,job_correlated,100,5,4,2323,IG,"d=6,T=0.1,t=5.0s",5.0,1004,HEURISTIC_RPD,2.344546381243629,29089
pilot_c_convergence,job_correlated,100,5,4,2323,IG,"d=6,T=0.1,t=10.0s",10.0,999,HEURISTIC_RPD,1.834862385321101,59287
pilot_c_convergence,job_correlated,100,5,4,2323,IG,"d=6,T=0.1,t=30.0s",30.0,993,HEURISTIC_RPD,1.2232415902140672,175820
pilot_c_convergence,job_correlated,100,5,4,2323,IG,"d=6,T=0.1,t=60.0s",60.0,993,HEURISTIC_RPD,1.2232415902140672,347561
pilot_c_convergence,uniform,100,5,0,2314,IG,"d=6,T=0.1,t=0.1s",0.109375,544,HEURISTIC_RPD,8.366533864541832,514
pilot_c_convergence,uniform,100,5,0,2314,IG,"d=6,T=0.1,t=0.5s",0.5,527,HEURISTIC_RPD,4.9800796812749,2665
pilot_c_convergence,uniform,100,5,0,2314,IG,"d=6,T=0.1,t=1.0s",1.0,522,HEURISTIC_RPD,3.9840637450199203,5271
pilot_c_convergence,uniform,100,5,0,2314,IG,"d=6,T=0.1,t=5.0s",5.0,514,HEURISTIC_RPD,2.3904382470119523,26534
pilot_c_convergence,uniform,100,5,0,2314,IG,"d=6,T=0.1,t=10.0s",10.0,514,HEURISTIC_RPD,2.3904382470119523,53469
pilot_c_convergence,uniform,100,5,0,2314,IG,"d=6,T=0.1,t=30.0s",30.0,511,HEURISTIC_RPD,1.7928286852589643,161811
pilot_c_convergence,uniform,100,5,0,2314,IG,"d=6,T=0.1,t=60.0s",60.0,511,HEURISTIC_RPD,1.7928286852589643,326150
pilot_c_convergence,uniform,100,5,1,2315,IG,"d=6,T=0.1,t=0.1s",0.109375,507,HEURISTIC_RPD,9.503239740820735,489
pilot_c_convergence,uniform,100,5,1,2315,IG,"d=6,T=0.1,t=0.5s",0.5,478,HEURISTIC_RPD,3.2397408207343417,2482
pilot_c_convergence,uniform,100,5,1,2315,IG,"d=6,T=0.1,t=1.0s",1.0,478,HEURISTIC_RPD,3.2397408207343417,5638
pilot_c_convergence,uniform,100,5,1,2315,IG,"d=6,T=0.1,t=5.0s",5.0,475,HEURISTIC_RPD,2.591792656587473,26480
pilot_c_convergence,uniform,100,5,1,2315,IG,"d=6,T=0.1,t=10.0s",10.0,475,HEURISTIC_RPD,2.591792656587473,52735
pilot_c_convergence,uniform,100,5,1,2315,IG,"d=6,T=0.1,t=30.0s",30.0,471,HEURISTIC_RPD,1.7278617710583155,159267
pilot_c_convergence,uniform,100,5,1,2315,IG,"d=6,T=0.1,t=60.0s",60.0,471,HEURISTIC_RPD,1.7278617710583155,317672
pilot_c_convergence,uniform,100,5,2,2316,IG,"d=6,T=0.1,t=0.1s",0.109375,563,HEURISTIC_RPD,11.706349206349206,478
pilot_c_convergence,uniform,100,5,2,2316,IG,"d=6,T=0.1,t=0.5s",0.5,526,HEURISTIC_RPD,4.365079365079365,2808
pilot_c_convergence,uniform,100,5,2,2316,IG,"d=6,T=0.1,t=1.0s",1.0,518,HEURISTIC_RPD,2.7777777777777777,5430
pilot_c_convergence,uniform,100,5,2,2316,IG,"d=6,T=0.1,t=5.0s",5.0,514,HEURISTIC_RPD,1.984126984126984,27745
pilot_c_convergence,uniform,100,5,2,2316,IG,"d=6,T=0.1,t=10.0s",10.0,512,HEURISTIC_RPD,1.5873015873015872,55880
pilot_c_convergence,uniform,100,5,2,2316,IG,"d=6,T=0.1,t=30.0s",30.0,512,HEURISTIC_RPD,1.5873015873015872,162152
pilot_c_convergence,uniform,100,5,2,2316,IG,"d=6,T=0.1,t=60.0s",60.0,512,HEURISTIC_RPD,1.5873015873015872,317294
pilot_c_convergence,uniform,100,5,3,2317,IG,"d=6,T=0.1,t=0.1s",0.109375,576,HEURISTIC_RPD,13.609467455621301,446
pilot_c_convergence,uniform,100,5,3,2317,IG,"d=6,T=0.1,t=0.5s",0.5,534,HEURISTIC_RPD,5.325443786982249,2688
pilot_c_convergence,uniform,100,5,3,2317,IG,"d=6,T=0.1,t=1.0s",1.0,532,HEURISTIC_RPD,4.930966469428008,5496
pilot_c_convergence,uniform,100,5,3,2317,IG,"d=6,T=0.1,t=5.0s",5.0,524,HEURISTIC_RPD,3.353057199211045,28219
pilot_c_convergence,uniform,100,5,3,2317,IG,"d=6,T=0.1,t=10.0s",10.0,521,HEURISTIC_RPD,2.7613412228796843,56881
pilot_c_convergence,uniform,100,5,3,2317,IG,"d=6,T=0.1,t=30.0s",30.0,518,HEURISTIC_RPD,2.1696252465483234,167095
pilot_c_convergence,uniform,100,5,3,2317,IG,"d=6,T=0.1,t=60.0s",60.0,516,HEURISTIC_RPD,1.7751479289940828,327699
pilot_c_convergence,uniform,100,5,4,2318,IG,"d=6,T=0.1,t=0.1s",0.109375,615,HEURISTIC_RPD,8.274647887323944,531
pilot_c_convergence,uniform,100,5,4,2318,IG,"d=6,T=0.1,t=0.5s",0.5,600,HEURISTIC_RPD,5.633802816901409,2633
pilot_c_convergence,uniform,100,5,4,2318,IG,"d=6,T=0.1,t=1.0s",1.0,589,HEURISTIC_RPD,3.697183098591549,5046
pilot_c_convergence,uniform,100,5,4,2318,IG,"d=6,T=0.1,t=5.0s",5.0,582,HEURISTIC_RPD,2.464788732394366,26011
pilot_c_convergence,uniform,100,5,4,2318,IG,"d=6,T=0.1,t=10.0s",10.0,582,HEURISTIC_RPD,2.464788732394366,51551
