Experiment,Dist,N,M,Replica,Seed,Algo,Params,Time,Obj,Status,Gap,Nodes
workhorse_final,job_correlated,8,2,0,2029,BnB,TL=60s,0.0,260,OPTIMAL,1.5625,77
workhorse_final,job_correlated,8,2,0,2029,IG,"d=4,T=0.1,t=30s",30.0,260,HEURISTIC_OPT_GAP,0.0,1541360
workhorse_final,job_correlated,8,2,1,2030,BnB,TL=60s,0.0,251,OPTIMAL,2.8688524590163933,64
workhorse_final,job_correlated,8,2,1,2030,IG,"d=4,T=0.1,t=30s",30.0,251,HEURISTIC_OPT_GAP,0.0,616489
workhorse_final,job_correlated,8,2,2,2031,BnB,TL=60s,0.0,232,OPTIMAL,2.2026431718061676,79
workhorse_final,job_correlated,8,2,2,2031,IG,"d=4,T=0.1,t=30s",30.0,232,HEURISTIC_OPT_GAP,0.0,655288
workhorse_final,job_correlated,8,2,3,2032,BnB,TL=60s,0.0,225,OPTIMAL,5.14018691588785,85
workhorse_final,job_correlated,8,2,3,2032,IG,"d=4,T=0.1,t=30s",30.0,225,HEURISTIC_OPT_GAP,0.0,648395
workhorse_final,job_correlated,8,2,4,2033,BnB,TL=60s,0.0,249,OPTIMAL,5.063291139240507,57
workhorse_final,job_correlated,8,2,4,2033,IG,"d=4,T=0.1,t=30s",30.0,249,HEURISTIC_OPT_GAP,0.0,623403
workhorse_final,uniform,8,2,0,2024,BnB,TL=60s,0.0,206,OPTIMAL,10.75268817204301,60
workhorse_final,uniform,8,2,0,2024,IG,"d=4,T=0.1,t=30s",30.0,206,HEURISTIC_OPT_GAP,0.0,646409
workhorse_final,uniform,8,2,1,2025,BnB,TL=60s,0.0,139,OPTIMAL,9.448818897637794,18
workhorse_final,uniform,8,2,1,2025,IG,"d=4,T=0.1,t=30s",30.0,139,HEURISTIC_OPT_GAP,0.0,642834
workhorse_final,uniform,8,2,2,2026,BnB,TL=60s,0.0,211,OPTIMAL,0.4761904761904762,56
workhorse_final,uniform,8,2,2,2026,IG,"d=4,T=0.1,t=30s",30.0,211,HEURISTIC_OPT_GAP,0.0,622201
workhorse_final,uniform,8,2,3,2027,BnB,TL=60s,0.0,177,OPTIMAL,9.25925925925926,52
workhorse_final,uniform,8,2,3,2027,IG,"d=4,T=0.1,t=30s",30.0,177,HEURISTIC_OPT_GAP,0.0,657019
workhorse_final,uniform,8,2,4,2028,BnB,TL=60s,0.0,181,OPTIMAL,20.666666666666668,26
workhorse_final,uniform,8,2,4,2028,IG,"d=4,T=0.1,t=30s",30.0,181,HEURISTIC_OPT_GAP,0.0,651535
workhorse_final,job_correlated,8,4,0,2039,BnB,TL=60s,0.0,134,OPTIMAL,8.064516129032258,77
workhorse_final,job_correlated,8,4,0,2039,IG,"d=4,T=0.1,t=30s",30.0,134,HEURISTIC_OPT_GAP,0.0,643378
workhorse_final,job_correlated,8,4,1,2040,BnB,TL=60s,0.0,149,OPTIMAL,9.558823529411764,94
workhorse_final,job_correlated,8,4,1,2040,IG,"d=4,T=0.1,t=30s",30.0,149,HEURISTIC_OPT_GAP,0.0,636795
